Census Tract,East = 1/ West = 0 ,Total Populaton,Households,Housing Units,Minority Population,Percent Minority,Low Income,Percent Low Income,Less than HS Education,Percent Less than HS Education,Under Age 5,Percent Under Age 5,Over Age 64,Percent Over Age 64,Housing Units Built Before 1960,Percent Housing Units Built Before 1960,NATA Diesel Particulate Matter,NATA Cancer Risk,NATA Respiratory Hazard Index,Traffic Proximity,Wastewater Dischange Indicator,Superfund Proximity,RMP Proximity,TSDF Proximity,Ozone Concentration,PM 2.5 Concentration
3.7067E+11,0,1444,343,371,454,0.314404432,348,0.418269231,28,0.054580897,17,0.011772853,175,0.121191136,78,0.210242588,0.688297612,45.53047535,1.649238624,69.91162715,1.516E-08,0.028422549,0.47072889,1.349049734,46.79519869,9.849698904
3.7067E+11,0,2801,89,94,881,0.314530525,256,0.785276074,0,0,0,0,58,0.02070689,0,0,0.688297612,45.53047535,1.649238624,55.4326857,7.728E-08,0.02780267,0.580026841,2.415798461,46.79519869,9.849698904
3.7067E+11,0,830,388,453,289,0.348192771,263,0.31686747,48,0.076555024,42,0.05060241,246,0.296385542,63,0.139072848,0.688297612,45.53047535,1.649238624,45.05612365,1.1712E-07,0.022163788,0.721782848,2.927143498,46.79519869,9.849698904
3.7067E+11,1,2178,706,820,2065,0.948117539,1516,0.701851852,260,0.208667737,192,0.08815427,311,0.142791552,308,0.375609756,0.653125783,45.6557552,1.6452289,340.0719465,2.707E-08,0.020730374,0.730240975,3.51203575,46.66870327,9.837132877
3.7067E+11,1,1632,501,713,1334,0.817401961,1135,0.843239227,170,0.191873589,150,0.091911765,91,0.055759804,177,0.248246844,0.653125783,45.6557552,1.6452289,154.3977435,6.783E-08,0.026628781,1.125519861,5.103896246,46.66870327,9.837132877
3.7067E+11,1,2164,653,745,1980,0.914972274,1334,0.621042831,343,0.313242009,278,0.128465804,132,0.060998152,321,0.430872483,0.678330975,44.18612857,1.581818931,41.06289032,4.27E-09,0.025057012,0.657834919,2.621138457,46.56847059,9.820565205
3.7067E+11,1,1138,369,418,873,0.767135325,595,0.5228471,80,0.109289617,89,0.078207381,117,0.102811951,194,0.464114833,0.678330975,44.18612857,1.581818931,118.883913,3.56E-09,0.025900553,0.423397908,2.031293123,46.56847059,9.820565205
3.7067E+11,1,878,317,412,590,0.671981777,642,0.731207289,210,0.363951473,90,0.102505695,118,0.134396355,231,0.560679612,0.678330975,44.18612857,1.581818931,1411.842118,2.728E-08,0.025329735,1.381571397,4.559473008,46.56847059,9.820565205
3.7067E+11,1,1780,569,716,1709,0.96011236,1152,0.647191011,232,0.221585482,267,0.15,240,0.134831461,224,0.312849162,0.51018365,41.89029595,1.451259628,12.88706001,0.000188037,0.023693443,0.471333684,1.784455708,46.76991699,9.869831781
3.7067E+11,1,1269,428,541,1269,1,694,0.5552,122,0.125773196,20,0.015760441,328,0.258471237,223,0.41219963,0.51018365,41.89029595,1.451259628,18.8251839,0.000615759,0.017745667,0.694782839,2.656296495,46.76991699,9.869831781
3.7067E+11,1,668,298,318,611,0.914670659,322,0.482035928,31,0.066523605,32,0.047904192,122,0.182634731,81,0.254716981,0.51018365,41.89029595,1.451259628,25.24272218,0,0.024180453,0.657955508,2.552460702,46.76991699,9.869831781
3.7067E+11,1,1795,581,700,1496,0.833426184,1276,0.735023041,255,0.346938776,344,0.191643454,84,0.046796657,330,0.471428571,0.6622591,45.64202271,1.656852404,1535.110051,5.43855E-05,0.024536996,1.290514489,4.22627015,47.00229346,9.897682192
3.7067E+11,1,1700,637,810,1640,0.964705882,1220,0.717647059,314,0.338727077,224,0.131764706,218,0.128235294,432,0.533333333,0.6622591,45.64202271,1.656852404,4.89972126,0.002266155,0.017561251,1.021376042,2.571661119,47.00229346,9.897682192
3.7067E+11,1,752,291,369,728,0.968085106,524,0.696808511,58,0.141119221,33,0.043882979,55,0.073138298,156,0.422764228,0.71214023,44.23211854,1.614053105,895.2168926,0.012562077,0.018981348,0.710446083,1.70111437,47.14658889,9.949329041
3.7067E+11,1,499,236,312,461,0.923847695,414,0.829659319,150,0.428571429,41,0.082164329,75,0.150300601,189,0.605769231,0.71214023,44.23211854,1.614053105,1617.846901,0.004955595,0.024102738,0.994563575,2.26503221,47.14658889,9.949329041
3.7067E+11,1,1544,516,516,1544,1,1183,0.76619171,100,0.136054422,190,0.123056995,200,0.129533679,145,0.281007752,0.71214023,44.23211854,1.614053105,167.4640536,0.004086439,0.023667306,0.859135951,1.925476231,47.14658889,9.949329041
3.7067E+11,1,811,326,538,811,1,666,0.821208385,210,0.463576159,46,0.056720099,26,0.032059186,256,0.475836431,0.71214023,44.23211854,1.614053105,9.922439904,0.006146479,0.023565927,0.713430007,2.115040959,47.14658889,9.949329041
3.7067E+11,1,1873,646,702,1021,0.545114789,780,0.416444207,137,0.124545455,393,0.209823812,226,0.12066204,73,0.103988604,0.71214023,44.23211854,1.614053105,95.12789956,0.010015182,0.008879405,0.318180542,1.185608294,47.14658889,9.949329041
3.7067E+11,1,1789,629,656,1506,0.841811068,1097,0.613191727,200,0.180342651,104,0.058133035,190,0.106204584,285,0.43445122,0.608733763,43.09649889,1.607124876,19.74468383,0.003662666,0.017471543,0.485155016,1.461064575,47.54724641,10.05567178
3.7067E+11,1,790,240,273,727,0.920253165,667,0.844303797,238,0.494802495,118,0.149367089,84,0.106329114,203,0.743589744,0.608733763,43.09649889,1.607124876,4.618469061,0.002605382,0.023346845,0.66317786,1.938057749,47.54724641,10.05567178
3.7067E+11,1,716,282,308,687,0.959497207,666,0.942008487,119,0.244855967,65,0.090782123,101,0.141061453,179,0.581168831,0.608733763,43.09649889,1.607124876,35.74836623,0.003111709,0.021009307,0.853619756,2.553376794,47.54724641,10.05567178
3.7067E+11,1,1067,392,471,1064,0.997188379,724,0.678537957,128,0.17558299,35,0.032802249,249,0.233364574,132,0.280254777,0.608733763,43.09649889,1.607124876,18.47194257,0.011959342,0.023523454,0.845844332,2.272360181,47.54724641,10.05567178
3.7067E+11,1,1731,524,618,1347,0.778162912,1365,0.791304348,394,0.409989594,173,0.09994223,134,0.077411901,442,0.715210356,1.15155489,49.19379732,2.089719563,1762.166444,0.091025439,0.023945334,0.945301919,2.20520711,47.59251569,10.0693263
3.7067E+11,1,1147,474,587,506,0.441150828,704,0.613775065,124,0.168249661,87,0.075850044,51,0.044463819,415,0.706984668,0.986399964,48.32531248,1.901300661,1147.064478,0.1578419,0.024872073,0.671454248,2.19547279,47.50179935,10.0192389
3.7067E+11,1,516,282,312,43,0.083333333,150,0.290697674,0,0,11,0.021317829,115,0.222868217,252,0.807692308,0.986399964,48.32531248,1.901300661,112.1631043,0.011415184,0.024979792,0.696934823,2.301538761,47.50179935,10.0192389
3.7067E+11,1,1223,453,468,907,0.74161897,927,0.7579722,152,0.19843342,104,0.085036795,119,0.097301717,266,0.568376068,0.85055002,46.16275422,1.803530729,915.7399467,0.836289757,0.024642316,0.680521805,2.096067692,47.64111111,10.07659781
3.7067E+11,1,1414,524,567,1062,0.75106082,876,0.619519095,244,0.264355363,114,0.080622348,155,0.109618105,345,0.608465608,0.85055002,46.16275422,1.803530729,1547.219647,0.524093093,0.024302922,0.697938841,2.865980847,47.64111111,10.07659781
3.7067E+11,1,1479,539,572,1053,0.711967546,1022,0.694765466,263,0.284940412,112,0.075726842,176,0.118999324,353,0.617132867,0.76331907,45.33391723,1.679920959,1577.295094,0.368270829,0.025128352,0.561485866,2.209973711,47.60851242,10.05488466
3.7067E+11,1,1762,738,816,1112,0.631101022,1267,0.71906924,230,0.189144737,122,0.069239501,271,0.153802497,180,0.220588235,0.76331907,45.33391723,1.679920959,284.4790183,0.092275734,0.014395341,0.554628638,1.999510495,47.60851242,10.05488466
3.7067E+11,0,815,332,377,167,0.204907975,228,0.348091603,44,0.065088757,28,0.034355828,235,0.288343558,262,0.694960212,0.970330405,53.26907108,2.073532301,61.81753152,0.003016323,0.027739725,0.181387724,3.932063782,47.37740196,9.97776
3.7067E+11,0,1279,674,694,139,0.108678655,399,0.311962471,86,0.081982841,69,0.053948397,170,0.132916341,519,0.747838617,0.970330405,53.26907108,2.073532301,39.91144823,0.002952471,0.027150979,0.209294323,2.470022667,47.37740196,9.97776
3.7067E+11,0,854,330,428,338,0.395784543,387,0.453161593,110,0.177705977,0,0,213,0.24941452,256,0.598130841,1.116061847,52.53468939,2.076810141,633.6471123,0.000606179,0.027382039,0.157126155,2.591166572,47.27036797,9.95670274
3.7067E+11,0,1580,789,894,679,0.429746835,696,0.444160817,61,0.051870748,143,0.090506329,105,0.066455696,524,0.586129754,1.116061847,52.53468939,2.076810141,609.6617512,0.001486999,0.027205072,0.406400863,2.574670403,47.27036797,9.95670274
3.7067E+11,0,1593,737,757,37,0.023226616,236,0.148148148,15,0.012733447,123,0.077212806,204,0.128060264,667,0.881109643,1.116061847,52.53468939,2.076810141,9.434396645,0.001942907,0.016105042,0.295938344,2.40601717,47.27036797,9.95670274
